datetime,traffic,SO2,CO,O3,NO2,PM10,PM25
20180321,34003.15679,0.003278331,0.385627534,0.027642558,0.024447244,15.78383673,6.904462844
20180322,35741.29965,0.00446923,0.530146738,0.023312726,0.036403208,45.68027609,26.45984509
20180323,36243.54007,0.00612534,0.652207964,0.025439998,0.046226852,70.79944583,50.05916667
20180324,34089.34843,0.006990741,0.815202703,0.029167763,0.050569079,116.8144427,86.1675
20180325,29093.99303,0.005529332,0.852746496,0.03468504,0.039175587,124.625214,99.35373932
20180326,33206.87456,0.005755255,0.866554054,0.021970395,0.054760254,109.7426209,71.24326923
20180327,34633.57491,0.006725253,0.820084191,0.025758337,0.053992134,98.65685346,60.94257835
20180328,34620.48432,0.005735736,0.616432057,0.028326636,0.036510402,57.96903989,37.127849
20180329,35091.04181,0.00512899,0.577142349,0.022101852,0.039229837,66.17184863,43.19516916
20180330,36650.36585,0.004658315,0.581516714,0.024144085,0.039775634,67.60824412,37.01448955
20180331,34594.38328,0.005654279,0.548135965,0.028911155,0.038904605,60.4604982,29.38907882
